,Company,constant,year,score,total,market_cap,growth,excess_return
226,Invesco,1,2018,-0.5830021789437885,916,10880.5,0.029844961240309997,-0.4411732987585625
227,Invesco,1,2019,-0.5991555313262369,696,7523.5,0.15111027474595407,-0.13964559446208402
228,Invesco,1,2020,-0.6176165054776064,1653,8083.5,0.004577407225764274,-0.13203430570728036
229,Invesco,1,2021,0.5777315708235723,2278,9311.5,0.12188771358828321,0.09152783075112558
230,IronMountain,1,2017,-0.636077479628976,1532,9588.0,0.09512959270862997,0.02974843708892827
231,IronMountain,1,2018,-0.28070372721511205,1824,9947.5,0.0988296488946685,-0.006673726695462179
232,IronMountain,1,2019,-0.35224000205166905,2050,9213.5,0.00875739644970408,-0.23006580113373598
233,IronMountain,1,2020,-0.31531805374892996,2221,8823.0,-0.026982637259502562,-0.15277477706765796
234,IronMountain,1,2021,-0.024557710864859472,2271,11823.5,0.0829515312273934,0.6085217371073879
235,J.M.Smucker,1,2017,-0.5853098007127097,1266,14850.5,-0.05364229932146969,-0.2032426179777419
236,J.M.Smucker,1,2018,-0.3914695721233294,1725,13172.5,-0.004734848484848508,-0.15242141004388943
237,J.M.Smucker,1,2019,-0.4630058469598864,1600,11874.0,0.06537991028952028,-0.13982911228197925
238,J.M.Smucker,1,2020,-0.7329975939236661,970,12404.0,-0.0047205919877519875,-0.017547486788629385
239,J.M.Smucker,1,2021,-0.873762521827859,706,14112.5,0.025765927445199344,-0.05847479250229126
240,Johnson_Johnson,1,2017,2.0292256634750037,6901,344396.5,0.06343024064543057,0.047087075888500474
241,Johnson_Johnson,1,2018,4.74529648549525,9323,358348.0,0.06711576193590574,0.022117988895253737
242,Johnson_Johnson,1,2019,2.8438161479041852,6177,362465.0,0.005859207413490886,-0.12658045378414817
243,Johnson_Johnson,1,2020,-1.0352960456523426,308,398952.5,0.006397835703579213,-0.05435227425873812
244,Johnson_Johnson,1,2021,2.9361210186610327,5148,432334.0,0.13551051051051055,-0.15454648039248875
245,JPMorgan,1,2017,-0.3914695721233294,1482,339887.5,0.07700188932858332,0.08116987732404812
246,JPMorgan,1,2018,-0.45608298165312283,1256,347814.0,0.13305230452351657,-0.004880340651626014
247,JPMorgan,1,2019,-0.3130104319800088,1424,380870.0,0.09775542272615234,0.18378964672308462
248,JPMorgan,1,2020,-0.12147782515954964,1501,412247.5,-0.08843981335298035,-0.21793687809516393
249,JPMorgan,1,2021,0.25004927963676266,1912,427650.5,-0.020852737643463626,0.008530208517683935
250,KeyCorp,1,2017,-0.7029985109276906,1064,20718.0,0.09287183002056199,-0.054850666584953744
251,KeyCorp,1,2018,-0.7168442415412177,893,18490.5,0.2160551897146441,-0.17599658503984428
252,KeyCorp,1,2019,-0.8553015476764895,603,17613.0,0.10959257349149043,0.13842325581558468
253,KeyCorp,1,2020,-0.7145366197722965,854,17980.0,-0.01905647222867768,-0.30760209199669286
254,KeyCorp,1,2021,0.04005569866493397,2288,18779.5,0.17057569296375275,0.1902847951203559
255,Keysight,1,2017,1.5515479573083162,6278,7552.5,0.09287183002056199,-0.03218548800090448
256,Keysight,1,2018,1.8953836008775742,5613,11319.5,0.2160551897146441,0.5429290474300265
257,Keysight,1,2019,-0.3337790279002995,1825,15691.5,0.10959257349149043,0.36440863773452836
258,Keysight,1,2020,-0.2507046442191365,1940,21921.0,-0.01905647222867768,0.12446133821308925
259,Keysight,1,2021,0.5477324878275968,4509,28601.0,0.17057569296375275,0.29447635501844305
260,Kimco,1,2017,-0.5853098007127097,1392,9210.0,0.02564102564102555,-0.4324054578081429
261,Kimco,1,2018,-0.5691564483302614,1411,6949.5,-0.030000000000000027,-0.06107933455166992
262,Kimco,1,2019,-0.5599259612545766,1343,7458.5,-0.005154639175257714,0.20867571374778704
263,Kimco,1,2020,-0.32916378436245713,1576,7618.0,-0.08721934369602768,-0.40200954764558516
264,Kimco,1,2021,-0.2760884836772697,2068,10843.5,0.29044465468306524,0.4258512648151527
265,Leidos,1,2017,-0.09840160747033769,2072,8729.0,0.44398693738463724,0.09537334420109866
266,Leidos,1,2018,-0.09840160747033769,5014,8807.5,0.0023598820058996495,-0.08965069004298076
267,Leidos,1,2019,0.14159105649746653,2485,10965.0,0.08828722778104758,0.5994500319142859
268,Leidos,1,2020,0.7508032034926618,3553,14522.0,0.10843699296917242,-0.07304397538402929
269,Leidos,1,2021,1.2007894484322947,3162,13718.5,0.1171017321297878,-0.41089217022940394
270,Lincoln,1,2017,-0.5299268782586011,1225,15984.0,0.06954238559639903,-0.014609650029159704
271,Lincoln,1,2018,-0.2114750741474762,1350,13890.5,0.15199551097706387,-0.2587731077833185
272,Lincoln,1,2019,-0.23224367006776697,1314,11331.5,0.05077934729663913,-0.10924326781113058
273,Lincoln,1,2020,-0.24839702245021533,1280,10713.0,0.010487889674353879,-0.2633214875228067
274,Lincoln,1,2021,-0.024557710864859472,1475,11029.0,0.10270084293824189,0.12592522691391728
275,Lockheed,1,2017,0.037748076896012776,2061,82363.0,-0.3664622541763587,0.10404945247340902
276,Lockheed,1,2018,0.06313191635414592,2244,82986.5,0.7944592790387184,-0.08677353547391087
277,Lockheed,1,2019,0.04236332043385516,2268,92153.5,0.11253301588482567,0.23668570230299357
278,Lockheed,1,2020,0.443889508226143,3113,104575.5,0.09339263024142319,-0.22752266124652465
279,Lockheed,1,2021,0.20158922248941757,2413,98667.5,0.02516896541178637,-0.23741115940378954
280,Lowes,1,2017,0.12313008234609696,2640,61760.5,0.055400895150499174,0.1284635281108084
281,Lowes,1,2018,-0.6268469925532912,1018,71575.0,0.03920197029977124,0.09684418046100574
282,Lowes,1,2019,-0.16993788230689472,1369,82716.0,0.01176569577472697,0.03356292945919459
